# Summary
# percent  method  mean_MAE_cm^-1  std_MAE_cm^-1  sem_MAE_cm^-1  n_runs
 10  CCSD               15.23615876      9.20074086      2.65602511  12
 20  CCSD               10.68090407      4.65415207      1.34353798  12
 30  CCSD                7.57237650      3.10995574      0.89776689  12
 40  CCSD                7.06468418      2.98191657      0.86080517  12
 50  CCSD                6.21895081      2.17516078      0.62791483  12
 60  CCSD                4.73941138      1.66195993      0.47976651  12
 70  CCSD                4.90434240      1.92586807      0.55595023  12
 80  CCSD                3.26384696      0.86230945      0.24892730  12
 10  DFT+CCSD           19.74109278     13.33600648      3.84977347  12
 20  DFT+CCSD            9.19882821      5.48975565      1.58475595  12
 30  DFT+CCSD            5.16187582      2.53069390      0.73054840  12
 40  DFT+CCSD            2.75255606      0.76248360      0.22011006  12
 50  DFT+CCSD            2.12434875      0.46301323      0.13366041  12
 60  DFT+CCSD            1.68761942      0.16221683      0.04682797  12
 70  DFT+CCSD            1.43220847      0.17942730      0.05179620  12
 80  DFT+CCSD            1.23466563      0.40386127      0.11658471  12
 10  UMLFF+CCSD         10.67316650      0.26360684      0.07609674  12
 20  UMLFF+CCSD          4.56001612      0.15950082      0.04604392  12
 30  UMLFF+CCSD          2.74227965      0.33836881      0.09767866  12
 40  UMLFF+CCSD          1.62613638      0.34268842      0.09892563  12
 50  UMLFF+CCSD          1.38480258      0.37964833      0.10959503  12
 60  UMLFF+CCSD          1.22381178      0.25397536      0.07331637  12
 70  UMLFF+CCSD          1.03591828      0.25861656      0.07465617  12
 80  UMLFF+CCSD          0.92628366      0.18898065      0.05455401  12

# Raw per-repeat values
# method  repeat  validation_file  percent  mae_cm^-1
CCSD            check     validation_copy\check.npy   10     17.35017623
CCSD            check     validation_copy\check.npy   20     13.73327342
CCSD            check     validation_copy\check.npy   30      9.72762967
CCSD            check     validation_copy\check.npy   40      6.96447785
CCSD            check     validation_copy\check.npy   50      7.10093489
CCSD            check     validation_copy\check.npy   60      3.56380476
CCSD            check     validation_copy\check.npy   70      7.24925592
CCSD            check     validation_copy\check.npy   80      2.65698265
CCSD            check1    validation_copy\check1.npy   10     25.18535670
CCSD            check1    validation_copy\check1.npy   20     15.20167334
CCSD            check1    validation_copy\check1.npy   30     10.36391299
CCSD            check1    validation_copy\check1.npy   40     10.10440437
CCSD            check1    validation_copy\check1.npy   50      7.95403982
CCSD            check1    validation_copy\check1.npy   60      5.31086251
CCSD            check1    validation_copy\check1.npy   70      4.28944297
CCSD            check1    validation_copy\check1.npy   80      2.99690784
CCSD            check2    validation_copy\check2.npy   10      3.30070545
CCSD            check2    validation_copy\check2.npy   20      4.78383307
CCSD            check2    validation_copy\check2.npy   30      3.87070208
CCSD            check2    validation_copy\check2.npy   40      3.60334143
CCSD            check2    validation_copy\check2.npy   50      5.92817798
CCSD            check2    validation_copy\check2.npy   60      9.32224540
CCSD            check2    validation_copy\check2.npy   70      5.37943140
CCSD            check2    validation_copy\check2.npy   80      3.87983454
CCSD            check3    validation_copy\check3.npy   10      5.23623059
CCSD            check3    validation_copy\check3.npy   20      3.80158062
CCSD            check3    validation_copy\check3.npy   30      3.68825000
CCSD            check3    validation_copy\check3.npy   40      3.15139808
CCSD            check3    validation_copy\check3.npy   50      3.61147647
CCSD            check3    validation_copy\check3.npy   60      4.75873434
CCSD            check3    validation_copy\check3.npy   70      2.91830992
CCSD            check3    validation_copy\check3.npy   80      4.17986624
CCSD            check4    validation_copy\check4.npy   10      2.78243915
CCSD            check4    validation_copy\check4.npy   20      5.61273747
CCSD            check4    validation_copy\check4.npy   30      3.13607118
CCSD            check4    validation_copy\check4.npy   40      5.71523945
CCSD            check4    validation_copy\check4.npy   50      4.21948271
CCSD            check4    validation_copy\check4.npy   60      4.12366272
CCSD            check4    validation_copy\check4.npy   70      4.24281218
CCSD            check4    validation_copy\check4.npy   80      3.69307018
CCSD            check5    validation_copy\check5.npy   10      4.03942428
CCSD            check5    validation_copy\check5.npy   20      4.08266787
CCSD            check5    validation_copy\check5.npy   30      3.80263332
CCSD            check5    validation_copy\check5.npy   40      3.57630030
CCSD            check5    validation_copy\check5.npy   50      3.97067780
CCSD            check5    validation_copy\check5.npy   60      2.53581449
CCSD            check5    validation_copy\check5.npy   70      7.53230039
CCSD            check5    validation_copy\check5.npy   80      3.66283198
CCSD            check6    validation_copy\check6.npy   10     21.00826067
CCSD            check6    validation_copy\check6.npy   20     13.57786747
CCSD            check6    validation_copy\check6.npy   30     10.01393526
CCSD            check6    validation_copy\check6.npy   40     11.57171514
CCSD            check6    validation_copy\check6.npy   50      5.43786390
CCSD            check6    validation_copy\check6.npy   60      3.85116133
CCSD            check6    validation_copy\check6.npy   70      3.70645059
CCSD            check6    validation_copy\check6.npy   80      3.10577292
CCSD            check7    validation_copy\check7.npy   10     29.35596992
CCSD            check7    validation_copy\check7.npy   20     14.97366284
CCSD            check7    validation_copy\check7.npy   30      7.60510519
CCSD            check7    validation_copy\check7.npy   40      7.83935986
CCSD            check7    validation_copy\check7.npy   50      6.65983951
CCSD            check7    validation_copy\check7.npy   60      4.03303084
CCSD            check7    validation_copy\check7.npy   70      3.12146357
CCSD            check7    validation_copy\check7.npy   80      2.17649261
CCSD            check8    validation_copy\check8.npy   10     22.67487449
CCSD            check8    validation_copy\check8.npy   20     14.35730391
CCSD            check8    validation_copy\check8.npy   30      8.05953484
CCSD            check8    validation_copy\check8.npy   40      4.15924026
CCSD            check8    validation_copy\check8.npy   50      4.44710938
CCSD            check8    validation_copy\check8.npy   60      5.21348833
CCSD            check8    validation_copy\check8.npy   70      4.34206548
CCSD            check8    validation_copy\check8.npy   80      2.75780027
CCSD            check9    validation_copy\check9.npy   10     18.62494977
CCSD            check9    validation_copy\check9.npy   20     10.97833454
CCSD            check9    validation_copy\check9.npy   30      8.73177619
CCSD            check9    validation_copy\check9.npy   40      9.34971214
CCSD            check9    validation_copy\check9.npy   50     11.10759323
CCSD            check9    validation_copy\check9.npy   60      4.66538851
CCSD            check9    validation_copy\check9.npy   70      8.51076242
CCSD            check9    validation_copy\check9.npy   80      3.37587259
CCSD            check10   validation_copy\check10.npy   10     17.46997044
CCSD            check10   validation_copy\check10.npy   20     13.03888999
CCSD            check10   validation_copy\check10.npy   30     10.18603889
CCSD            check10   validation_copy\check10.npy   40     10.38676519
CCSD            check10   validation_copy\check10.npy   50      5.88225138
CCSD            check10   validation_copy\check10.npy   60      5.42507663
CCSD            check10   validation_copy\check10.npy   70      4.99303787
CCSD            check10   validation_copy\check10.npy   80      1.80899572
